Date,Open,High,Low,Close,Volume,Change
5-May-17,11.78,11.75,11.95,11.6,-,0.51%
4-May-17,11.72,12.09,12.3,11.65,137.12K,-2.90%
3-May-17,12.07,11.85,12.2,11.83,96.66K,2.12%
2-May-17,11.82,11.8,12.05,11.7,100.80K,0.00%
1-May-17,11.82,12.2,12.35,11.65,108.49K,-3.75%
28-Apr-17,12.28,12.37,12.5,12.2,107.38K,-0.81%
27-Apr-17,12.38,12.4,12.5,12.25,92.68K,0.00%
26-Apr-17,12.38,12.45,12.7,12.3,131.94K,-0.72%
25-Apr-17,12.47,12.65,12.85,12.23,148.93K,-1.66%
24-Apr-17,12.68,13.75,13.8,12.6,238.51K,-11.45%
21-Apr-17,14.32,14.3,14.65,14.15,132.09K,0.00%
20-Apr-17,14.32,14.55,14.7,14.1,142.81K,-1.72%
19-Apr-17,14.57,14.35,14.75,13.95,146.06K,-1.02%
18-Apr-17,14.72,15.05,15.7,14.65,105.90K,-2.32%
17-Apr-17,15.07,16.4,16.5,15.05,76.47K,-7.66%
13-Apr-17,16.32,16.3,16.65,15.67,138.13K,0.31%
12-Apr-17,16.27,16,16.5,15.75,143.79K,1.88%
11-Apr-17,15.97,15,16.45,14.9,203.46K,6.25%
10-Apr-17,15.03,14.03,15.05,13.75,146.96K,7.13%
7-Apr-17,14.03,13.55,14.25,13.47,168.14K,3.39%
6-Apr-17,13.57,13.88,14,13.1,121.18K,-2.23%
5-Apr-17,13.88,13.23,13.95,12.85,125.97K,4.99%
4-Apr-17,13.22,13.5,13.75,13.1,97.70K,-1.86%
3-Apr-17,13.47,13.28,14.05,13.05,140.10K,1.43%
31-Mar-17,13.28,12.85,13.3,12.8,100.25K,3.59%
30-Mar-17,12.82,12.95,13.15,12.75,102.60K,-0.85%
22-Feb-17,13.2,13.45,13,13.22,98.83K,0.30%
21-Feb-17,13.25,13.25,12.75,13.18,100.68K,1.15%
20-Feb-17,13.03,13.05,12.88,13.03,-,-0.31%
19-Feb-17,13.07,13.07,13.03,13.07,-,-0.38%
17-Feb-17,13,13.38,12.95,13.12,135.62K,1.16%
16-Feb-17,12.85,13.7,12.75,12.97,179.91K,0.70%
15-Feb-17,12.3,12.95,12.25,12.88,197.13K,15.21%
14-Feb-17,11.4,11.55,11.05,11.18,106.85K,-2.19%
13-Feb-17,11.7,11.75,11.35,11.43,99.09K,-2.47%
10-Feb-17,12.05,12.1,11.7,11.72,90.94K,-2.58%
9-Feb-17,12.55,12.6,11.9,12.03,116.70K,-4.30%
8-Feb-17,12.6,12.85,12.43,12.57,104.51K,0.00%
7-Feb-17,12.45,12.65,12.25,12.57,91.28K,0.80%
6-Feb-17,12.45,12.85,12.3,12.47,93.85K,0.00%
3-Feb-17,12.92,13.1,12.25,12.47,93.36K,-3.56%
2-Feb-17,12.7,13.2,12.67,12.93,85.97K,1.97%
1-Feb-17,12.95,13,12.48,12.68,106.37K,-1.93%
31-Jan-17,12.9,13.45,12.85,12.93,113.98K,0.39%
30-Jan-17,12.7,13.65,12.65,12.88,143.70K,2.79%
27-Jan-17,12.7,12.85,12.5,12.53,67.49K,-1.18%
26-Jan-17,12.7,12.95,12.6,12.68,77.41K,-0.31%
25-Jan-17,13,13,12.6,12.72,91.47K,-2.38%
24-Jan-17,13.6,13.7,12.9,13.03,97.45K,-3.98%
23-Jan-17,13.85,14.1,13.55,13.57,89.66K,-1.81%
20-Jan-17,14.25,14.35,13.7,13.82,121.67K,-2.81%
19-Jan-17,14.2,14.5,14.05,14.22,102.14K,0.28%
18-Jan-17,14.2,14.35,13.95,14.18,134.42K,16.42%
17-Jan-17,12.25,12.79,11.75,12.18,123.81K,0.00%
13-Jan-17,12.45,12.65,12.14,12.18,110.18K,-2.33%
12-Jan-17,12.55,13.35,12.35,12.47,132.75K,-0.48%
11-Jan-17,12.85,13.25,12.45,12.53,119.63K,-2.72%
10-Jan-17,12.95,13.2,12.75,12.88,93.07K,-0.39%
9-Jan-17,12.85,13.2,12.73,12.93,85.26K,0.39%
6-Jan-17,13.05,13.15,12.6,12.88,87.23K,-1.15%
5-Jan-17,13.2,13.59,13,13.03,72.70K,-1.14%
4-Jan-17,13.8,13.89,12.95,13.18,90.64K,-4.35%
3-Jan-17,14.8,15,13.75,13.78,113.21K,-7.39%
2-Jan-17,14.88,14.93,14.82,14.88,-,-1.59%
30-Dec-16,14.85,15.37,14.55,15.12,72.16K,2.02%
29-Dec-16,14.6,15.05,14.5,14.82,56.11K,1.37%
28-Dec-16,14.05,14.65,13.94,14.62,73.78K,4.65%
27-Dec-16,14.3,14.33,13.95,13.97,43.96K,-2.17%
26-Dec-16,14.32,14.32,14.28,14.28,-,0.00%
23-Dec-16,14.25,14.45,14.2,14.28,53.73K,0.00%
22-Dec-16,14.07,14.4,14,14.28,81.56K,1.78%
21-Dec-16,14.2,14.3,14,14.03,83.49K,21.26%
20-Dec-16,12.15,12.2,11.4,11.57,98.53K,-4.54%
19-Dec-16,12.85,12.85,12,12.12,90.10K,-4.72%
16-Dec-16,13.1,13.15,12.65,12.72,106.53K,-2.38%
15-Dec-16,13.45,13.6,13,13.03,109.16K,-2.98%
14-Dec-16,13.3,13.65,12.84,13.43,147.36K,1.13%
13-Dec-16,13.4,13.72,13.17,13.28,103.60K,-1.12%
12-Dec-16,13.05,13.5,12.85,13.43,76.75K,3.07%
9-Dec-16,13.4,13.8,13,13.03,79.59K,-2.98%
8-Dec-16,13.32,13.91,13.05,13.43,129.62K,0.83%
7-Dec-16,13.15,13.45,12.75,13.32,110.68K,1.52%
6-Dec-16,13.55,13.75,13.05,13.12,91.32K,-3.03%
5-Dec-16,15.3,15.71,13.5,13.53,138.16K,-10.22%
2-Dec-16,15.05,15.36,14.5,15.07,97.03K,0.27%
1-Dec-16,14.5,15.4,14.25,15.03,126.01K,3.44%
30-Nov-16,14.3,14.51,14.05,14.53,94.64K,1.75%
29-Nov-16,14.48,14.65,14.09,14.28,59.67K,-1.04%
28-Nov-16,14.3,14.75,14.3,14.43,84.82K,0.77%
25-Nov-16,14.4,14.53,14.25,14.32,43.88K,0.00%
24-Nov-16,14.45,14.53,14.32,14.32,-,-0.76%
23-Nov-16,14.45,14.7,14.3,14.43,71.85K,0.00%
22-Nov-16,14.45,14.75,14.2,14.43,96.86K,-0.28%
21-Nov-16,14.95,15.06,14.25,14.47,76.51K,-3.34%
18-Nov-16,15.05,15.45,14.9,14.97,99.48K,-0.40%
17-Nov-16,15.6,15.65,15,15.03,110.22K,-3.47%
16-Nov-16,15.3,15.8,15.25,15.57,128.95K,17.95%
15-Nov-16,14.5,14.65,13.15,13.2,76.93K,-8.78%
14-Nov-16,14.9,15.45,14.45,14.47,100.59K,-3.08%
11-Nov-16,15.35,16.3,14.75,14.93,119.64K,-2.55%
10-Nov-16,14.9,16.5,13.95,15.32,191.78K,2.96%
9-Nov-16,15.95,23.46,14.8,14.88,289.64K,-6.83%
8-Nov-16,16.05,16.9,15.75,15.97,142.04K,-0.31%
7-Nov-16,17.35,17.5,16,16.02,148.36K,-17.08%
4-Nov-16,19.75,19.8,18.45,19.32,167.95K,-2.28%
3-Nov-16,18.5,19.85,18.19,19.77,149.66K,6.75%
2-Nov-16,17.85,18.57,17.7,18.52,146.61K,3.93%
1-Nov-16,17.25,18.78,16.97,17.82,173.33K,3.42%
31-Oct-16,16.7,17.35,16.35,17.23,109.71K,3.67%
28-Oct-16,16.05,17.08,15.74,16.62,181.93K,3.42%
27-Oct-16,15.6,16.15,15.25,16.07,116.80K,2.88%
26-Oct-16,15.2,15.75,15.18,15.62,108.27K,2.63%
25-Oct-16,14.9,15.4,14.85,15.22,86.37K,1.94%
24-Oct-16,15.55,15.69,14.9,14.93,83.07K,-4.11%
21-Oct-16,15.8,16.13,15.45,15.57,94.81K,-1.33%
20-Oct-16,16.1,16.4,15.75,15.78,96.76K,-1.80%
19-Oct-16,16.6,16.65,16,16.07,112.04K,2.49%
18-Oct-16,16.52,16.6,15.4,15.68,85.51K,-5.08%
17-Oct-16,16.65,17.1,16.41,16.52,91.29K,-0.60%
14-Oct-16,17,17.21,15.9,16.62,113.76K,-2.35%
13-Oct-16,16.3,17.7,16.28,17.02,155.46K,4.29%
12-Oct-16,15.85,16.35,15.54,16.32,111.38K,3.16%
11-Oct-16,14.7,16.32,14.6,15.82,147.38K,7.77%
10-Oct-16,14.95,15.15,14.55,14.68,74.85K,-4.18%
7-Oct-16,15,15.58,14.75,15.32,120.63K,2.34%
6-Oct-16,15.15,15.47,14.95,14.97,79.25K,-0.99%
5-Oct-16,15.37,15.59,15.1,15.12,81.70K,-1.31%
4-Oct-16,15.5,16.02,15.1,15.32,142.23K,-0.97%
3-Oct-16,15.75,16,15.4,15.47,88.50K,-1.96%
30-Sep-16,15.95,16.75,15.35,15.78,131.55K,-0.94%
29-Sep-16,15.25,17.05,15.05,15.93,200.38K,4.66%
28-Sep-16,15.5,15.93,15.2,15.22,108.01K,-2.00%
27-Sep-16,16.3,16.55,15.3,15.53,121.73K,-4.55%
26-Sep-16,15.4,16.7,15.3,16.27,117.45K,4.50%
23-Sep-16,15.35,15.6,15.2,15.57,125.47K,1.63%
22-Sep-16,16,16,15.25,15.32,150.83K,-4.67%
21-Sep-16,17.4,17.5,15.75,16.07,182.10K,1.20%
20-Sep-16,15.7,16.25,14.85,15.88,83.97K,1.28%
19-Sep-16,16,16.1,14.93,15.68,89.14K,-2.12%
16-Sep-16,17.1,17.7,16,16.02,107.50K,-6.15%
